#O	T_init	T_i_pt	T_final	T_f_pt	H_init	H_i_pt	H_final	H_f_pt	LI1	LI2	Wt	NVc	NV%	#steps	I_init	I_final	Angle_i	Angle_f	622_amp	6221_fr	6221_off
#new frequency = 80 Hz
#new amplitude = 4.0 mT
 1	027.69	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0556	240.00	000.00
 1	027.79	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0556	240.00	000.00
 1	027.89	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0556	240.00	000.00
#new amplitude = 7.33333333333 mT
 1	027.67	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0583	240.00	000.00
 1	027.77	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0583	240.00	000.00
 1	027.87	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0583	240.00	000.00
#new amplitude = 7.66666666667 mT
 1	027.65	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0609	240.00	000.00
 1	027.75	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0609	240.00	000.00
 1	027.85	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0609	240.00	000.00
#new amplitude = 8.0 mT
 1	027.63	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0635	240.00	000.00
 1	027.73	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0635	240.00	000.00
 1	027.83	000.10	004.00	000.10	000.00	000.50	000.60	000.02	12	12	  5	1	30	100.00	000.00	000.00	000.00	000.00	0.0635	240.00	000.00
0	00000	0.000	0.000	0.000	0000	0.000	0.000	0.000	0	0	00	0	00000	0000	0000	0000	0000	00000
