;Auto tune data
Tue Oct 31 09:41:46 1995
Auto tune data.
        Time, itc503.default.Tset, itc503.default.T1
           s,            K,            K
 
         7:0          4:0          4:0 
4.1870430E+03   1.0025E+02   1.0035E+02 
4.1890750E+03   1.0025E+02   1.0040E+02 
4.1911070E+03   1.0025E+02   1.0041E+02 
4.1931390E+03   1.0025E+02   1.0040E+02 
4.1951710E+03   1.0025E+02   1.0037E+02 
4.1972040E+03   9.9750E+01   1.0033E+02 
4.1991810E+03   9.9750E+01   1.0028E+02 
4.2012680E+03   9.9750E+01   1.0017E+02 
4.2033000E+03   9.9750E+01   1.0006E+02 
4.2053330E+03   9.9750E+01   9.9930E+01 
4.2073650E+03   9.9750E+01   9.9810E+01 
4.2093970E+03   9.9750E+01   9.9730E+01 
4.2114290E+03   9.9750E+01   9.9680E+01 
4.2134610E+03   9.9750E+01   9.9660E+01 
4.2154940E+03   9.9750E+01   9.9650E+01 
4.2175260E+03   9.9750E+01   9.9660E+01 
4.2195580E+03   9.9750E+01   9.9670E+01 
4.2215900E+03   9.9750E+01   9.9670E+01 
4.2236230E+03   9.9750E+01   9.9690E+01 
4.2256550E+03   1.0025E+02   9.9710E+01 
4.2276870E+03   1.0025E+02   9.9740E+01 
4.2297190E+03   1.0025E+02   9.9830E+01 
4.2317510E+03   1.0025E+02   9.9950E+01 
4.2337840E+03   1.0025E+02   1.0006E+02 
4.2358160E+03   1.0025E+02   1.0015E+02 
4.2378480E+03   1.0025E+02   1.0024E+02 
4.2398800E+03   1.0025E+02   1.0030E+02 
4.2419130E+03   1.0025E+02   1.0034E+02 
4.2439450E+03   1.0025E+02   1.0036E+02 
4.2459770E+03   1.0025E+02   1.0036E+02 
4.2480090E+03   1.0025E+02   1.0035E+02 
4.2500420E+03   1.0025E+02   1.0034E+02 
4.2520740E+03   9.9750E+01   1.0032E+02 
4.2541060E+03   9.9750E+01   1.0029E+02 
4.2561380E+03   9.9750E+01   1.0021E+02 
4.2581700E+03   9.9750E+01   1.0010E+02 
4.2602030E+03   9.9750E+01   9.9990E+01 
4.2622350E+03   9.9750E+01   9.9880E+01 
4.2642670E+03   9.9750E+01   9.9810E+01 
4.2662990E+03   9.9750E+01   9.9740E+01 
4.2683320E+03   9.9750E+01   9.9710E+01 
4.2703640E+03   9.9750E+01   9.9680E+01 
4.2723960E+03   9.9750E+01   9.9670E+01 
4.2744280E+03   9.9750E+01   9.9670E+01 
4.2764600E+03   9.9750E+01   9.9670E+01 
4.2784930E+03   9.9750E+01   9.9680E+01 
4.2805250E+03   9.9750E+01   9.9690E+01 
4.2825570E+03   9.9750E+01   9.9710E+01 
4.2845890E+03   1.0025E+02   9.9720E+01 
4.2866220E+03   1.0025E+02   9.9740E+01 
4.2886540E+03   1.0025E+02   9.9820E+01 
4.2906860E+03   1.0025E+02   9.9880E+01 
4.2927180E+03   1.0025E+02   9.9940E+01 
4.2947500E+03   1.0025E+02   9.9980E+01 
4.2967830E+03   1.0025E+02   1.0002E+02 
4.2988150E+03   1.0025E+02   1.0005E+02 
4.3008470E+03   1.0025E+02   1.0009E+02 
4.3028790E+03   1.0025E+02   1.0012E+02 
4.3049120E+03   1.0025E+02   1.0014E+02 
4.3069440E+03   1.0025E+02   1.0015E+02 
4.3089760E+03   1.0025E+02   1.0017E+02 
4.3110080E+03   1.0025E+02   1.0018E+02 
4.3130400E+03   1.0025E+02   1.0019E+02 
4.3150730E+03   1.0025E+02   1.0019E+02 
4.3171050E+03   1.0025E+02   1.0019E+02 
4.3191370E+03   1.0025E+02   1.0019E+02 
4.3211690E+03   1.0025E+02   1.0019E+02 
4.3232020E+03   1.0025E+02   1.0020E+02 
4.3252340E+03   1.0025E+02   1.0019E+02 
4.3272660E+03   1.0025E+02   1.0020E+02 
4.3292980E+03   1.0025E+02   1.0020E+02 
4.3313310E+03   1.0025E+02   1.0020E+02 
4.3333630E+03   1.0025E+02   1.0020E+02 
4.3353950E+03   1.0025E+02   1.0021E+02 
4.3374270E+03   1.0025E+02   1.0021E+02 
4.3394590E+03   1.0025E+02   1.0021E+02 
4.3414920E+03   1.0025E+02   1.0021E+02 
4.3435240E+03   1.0025E+02   1.0021E+02 
4.3455560E+03   1.0025E+02   1.0021E+02 
4.3475880E+03   1.0025E+02   1.0022E+02 
4.3496210E+03   1.0025E+02   1.0022E+02 
4.3516530E+03   1.0025E+02   1.0022E+02 
4.3536850E+03   1.0025E+02   1.0024E+02 
4.3557170E+03   1.0025E+02   1.0025E+02 
4.3577490E+03   1.0025E+02   1.0026E+02 
4.3597820E+03   1.0025E+02   1.0026E+02 
4.3618140E+03   1.0025E+02   1.0026E+02 
4.3638460E+03   1.0025E+02   1.0026E+02 
4.3658780E+03   1.0025E+02   1.0026E+02 
4.3679110E+03   1.0025E+02   1.0026E+02 
4.3699430E+03   1.0025E+02   1.0026E+02 
4.3719750E+03   1.0025E+02   1.0026E+02 
4.3740070E+03   1.0025E+02   1.0026E+02 
4.3760390E+03   1.0025E+02   1.0025E+02 
4.3780720E+03   1.0025E+02   1.0025E+02 
4.3801040E+03   1.0025E+02   1.0025E+02 
4.3821360E+03   1.0025E+02   1.0025E+02 
4.3841680E+03   1.0025E+02   1.0025E+02 
4.3862010E+03   1.0025E+02   1.0025E+02 
4.3882330E+03   1.0025E+02   1.0025E+02 
4.3902650E+03   1.0025E+02   1.0025E+02 
4.3922970E+03   1.0025E+02   1.0025E+02 
4.3943290E+03   1.0025E+02   1.0025E+02 
4.3963620E+03   1.0025E+02   1.0025E+02 
4.3983940E+03   1.0025E+02   1.0025E+02 
4.4004260E+03   1.0025E+02   1.0025E+02 
4.4024580E+03   9.9750E+01   1.0025E+02 
4.4044910E+03   9.9750E+01   1.0024E+02 
4.4065230E+03   9.9750E+01   1.0018E+02 
4.4085550E+03   9.9750E+01   1.0009E+02 
4.4105870E+03   9.9750E+01   9.9980E+01 
4.4126200E+03   9.9750E+01   9.9880E+01 
4.4146520E+03   9.9750E+01   9.9810E+01 
4.4166840E+03   9.9750E+01   9.9740E+01 
4.4187160E+03   9.9750E+01   9.9690E+01 
4.4207480E+03   9.9750E+01   9.9660E+01 
4.4227810E+03   9.9750E+01   9.9640E+01 
4.4248130E+03   9.9750E+01   9.9620E+01 
4.4268450E+03   9.9750E+01   9.9620E+01 
4.4288770E+03   9.9750E+01   9.9630E+01 
4.4309100E+03   9.9750E+01   9.9650E+01 
4.4329420E+03   9.9750E+01   9.9670E+01 
4.4349740E+03   9.9750E+01   9.9680E+01 
4.4370060E+03   9.9750E+01   9.9690E+01 
4.4390380E+03   9.9750E+01   9.9710E+01 
4.4410710E+03   9.9750E+01   9.9720E+01 
4.4431030E+03   9.9750E+01   9.9730E+01 
4.4450800E+03   9.9750E+01   9.9730E+01 
4.4471670E+03   9.9750E+01   9.9740E+01 
4.4491450E+03   9.9750E+01   9.9760E+01 
4.4512320E+03   9.9750E+01   9.9770E+01 
4.4532640E+03   9.9750E+01   9.9770E+01 
4.4552410E+03   9.9750E+01   9.9770E+01 
4.4573280E+03   9.9750E+01   9.9770E+01 
4.4593060E+03   9.9750E+01   9.9770E+01 
4.4613380E+03   9.9750E+01   9.9760E+01 
4.4634250E+03   9.9750E+01   9.9760E+01 
4.4654570E+03   9.9750E+01   9.9760E+01 
4.4674900E+03   9.9750E+01   9.9760E+01 
4.4695220E+03   9.9750E+01   9.9760E+01 
4.4715540E+03   9.9750E+01   9.9750E+01 
4.4735860E+03   9.9750E+01   9.9750E+01 
4.4755640E+03   9.9750E+01   9.9760E+01 
4.4775960E+03   9.9750E+01   9.9770E+01 
4.4796830E+03   9.9750E+01   9.9770E+01 
4.4816600E+03   9.9750E+01   9.9760E+01 
4.4836920E+03   9.9750E+01   9.9760E+01 
4.4857800E+03   9.9750E+01   9.9750E+01 
4.4877570E+03   9.9750E+01   9.9730E+01 
4.4898440E+03   9.9750E+01   9.9720E+01 
4.4918760E+03   9.9750E+01   9.9720E+01 
4.4939090E+03   9.9750E+01   9.9720E+01 
4.4959410E+03   9.9750E+01   9.9720E+01 
4.4979730E+03   9.9750E+01   9.9730E+01 
4.5000050E+03   9.9750E+01   9.9730E+01 
4.5020370E+03   9.9750E+01   9.9740E+01 
4.5040700E+03   9.9750E+01   9.9750E+01 
4.5061020E+03   9.9750E+01   9.9770E+01 
4.5081340E+03   9.9750E+01   9.9770E+01 
