;******* 2000 OHM RUTHENIUM OXIDE RESISTOR ********
;Data for 2000 Ohm Ruthium Oxide Resistor
;15/10/92
;Used for ITC502 Range CR1
17:13:20      06-17-1993
RuO
T, R
K, -


 .236          9063 
 .269          7890 
 .32           7377.5 
 .334          7067 
 .398          6414 
 .614          4951.25 
 .777          4296.75 
 .849          4077 
 1.073         3858.5 
 1.204         3658 
 1.495         3400.75 
 1.694         3246 
 1.974         3096.7 
 2.362         2943 
 2.489         2919.7 
 2.789         2813.7 
 3.151         2726 
 3.973         2613.7 
 5.055         2471.75 
 5.5           2441 
 6.5           2368 
 7             2353.3 
 7.5           2322 
 8             2298 
 9             2282.7 
 9.25          2274.5 
 11            2233.3 
