;****** GOLD/IRON CHROMEL THERMOCOUPLE (0.07% IRON) *****
;Temperatures in Kelvin, Tref=77.3K
;(Subtract 1.223 for 4.2 reference)
;Used for ITC502 Range TG57
14:01:55      06-17-1993
AuFe 0.07/Chr
T, R
K, -


 1            -1.258 
 1.1          -1.257 
 1.2          -1.256 
 1.3          -1.255 
 1.4          -1.254 
 1.5          -1.253 
 1.6          -1.252 
 1.7          -1.251 
 1.8          -1.25 
 1.9          -1.249 
 2            -1.248 
 2.5          -1.243 
 3            -1.238 
 3.5          -1.232 
 4            -1.226 
 5            -1.213 
 6            -1.199 
 7            -1.185 
 8            -1.17 
 9            -1.154 
 10           -1.139 
 15           -1.056 
 20           -.971 
 25           -.887 
 30           -.804 
 35           -.721 
 40           -.639 
 45           -.557 
 50           -.474 
 55           -.389 
 60           -.304 
 65           -.218 
 70           -.13 
 80            .048 
 90            .23 
 100           .417 
 120           .801 
 140           1.199 
 160           1.607 
 180           2.025 
 200           2.451 
 250           3.543 
 291.59        4.468 
 316.62        5.037 
 347.04        5.721 
 372.55        6.301 
 397.44        6.86 
 422.28        7.421 
 446.87        7.97 
 470.8         8.5 
 494.23        9.014 
