;*********** 270 OHM CARBON RESISTOR *********
;Typical calibration data for a
;270 Ohm Allen Bradley carbon resistor.
;Used for ITC502 Range CA22
14:10:52      06-17-1993
270R Allen Bradley
T, R
K, -


 1.31291       200000 
 1.34215       180000 
 1.37627       160000 
 1.4169        140000 
 1.46658       120000 
 1.52954       100000 
 1.61352       80000 
 1.73475       60000 
 1.93584       40000 
 2.10533       30000 
 2.39357       20000 
 2.64336       15000 
 2.87046       12000 
 3.08257       10000 
 3.38183       8000 
 3.58586       7000 
 3.84914       6000 
 4.20616       5000 
 4.43917       4500 
 4.72686       4000 
 5.09336       3500 
 5.58019       3000 
 6.26572       2500 
 7.31878       2000 
 9.1856        1500 
 11.2487       1200 
 13.5673       1000 
 17.6632       800 
 21.1672       700 
 26.821        600 
 31.1582       550 
 37.333        500 
 46.7343       450 
 55.0837       420 
 62.4928       400 
 64.6566       395 
 66.9692       390 
 69.4461       385 
 72.1038       380 
 74.9616       375 
 78.0418       370 
 81.3693       365 
 84.9733       360 
 93.1492       350 
 102.908       340 
 114.716       330 
 129.23        320 
 147.4         310 
 158.275       305 
 170.648       300 
 184.82        295 
 201.178       290 
 204.753       289 
 220.215       285 
 242.577       280 
 247.518       279 
 252.635       278 
 257.933       277 
 269.119       275 
 275.025       274 
 281.154       273 
 287.517       272 
 294.129       271 
 301.002       270 
 308.149       269 
 315.587       268 
 323.332       267 
 331.404       266 
 339.818       265 
 348.597       264 
 357.76        263 
 367.335       262 
 377.344       261 
 387.817       260 
